Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
03/31/2005,2005Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5124
03/31/2005,2005Q1,6,Private Industries,Mining,238
03/31/2005,2005Q1,10,Private Industries,Utilities,2202
03/31/2005,2005Q1,11,Private Industries,Construction,4966
03/31/2005,2005Q1,12,Private Industries,Manufacturing,24483
03/31/2005,2005Q1,34,Private Industries,Wholesale trade,6547
03/31/2005,2005Q1,35,Private Industries,Retail trade,7323
03/31/2005,2005Q1,36,Private Industries,Transportation and warehousing,4021
03/31/2005,2005Q1,45,Private Industries,Information,4035
03/31/2005,2005Q1,51,Private Industries,Finance and insurance,16998
03/31/2005,2005Q1,56,Private Industries,Real estate and rental and leasing,11363
03/31/2005,2005Q1,60,Private Industries,"Professional, scientific, and technical services",3246
03/31/2005,2005Q1,64,Private Industries,Management of companies and enterprises,990
03/31/2005,2005Q1,65,Private Industries,Administrative and waste management services,2258
03/31/2005,2005Q1,69,Private Industries,Educational services,988
03/31/2005,2005Q1,70,Private Industries,Health care and social assistance,7930
03/31/2005,2005Q1,75,Private Industries,"Arts, entertainment, and recreation",764
03/31/2005,2005Q1,78,Private Industries,Accommodation and food services,2468
03/31/2005,2005Q1,81,Private Industries,"Other services, except government",2661
03/31/2005,2005Q1,82,Government,Government,13682
06/30/2005,2005Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",5318
06/30/2005,2005Q2,6,Private Industries,Mining,264
06/30/2005,2005Q2,10,Private Industries,Utilities,2052
06/30/2005,2005Q2,11,Private Industries,Construction,5115
06/30/2005,2005Q2,12,Private Industries,Manufacturing,24232
06/30/2005,2005Q2,34,Private Industries,Wholesale trade,6542
06/30/2005,2005Q2,35,Private Industries,Retail trade,7390
06/30/2005,2005Q2,36,Private Industries,Transportation and warehousing,4193
06/30/2005,2005Q2,45,Private Industries,Information,4022
06/30/2005,2005Q2,51,Private Industries,Finance and insurance,17057
06/30/2005,2005Q2,56,Private Industries,Real estate and rental and leasing,11367
06/30/2005,2005Q2,60,Private Industries,"Professional, scientific, and technical services",3262
06/30/2005,2005Q2,64,Private Industries,Management of companies and enterprises,1018
06/30/2005,2005Q2,65,Private Industries,Administrative and waste management services,2286
06/30/2005,2005Q2,69,Private Industries,Educational services,998
06/30/2005,2005Q2,70,Private Industries,Health care and social assistance,7966
06/30/2005,2005Q2,75,Private Industries,"Arts, entertainment, and recreation",733
06/30/2005,2005Q2,78,Private Industries,Accommodation and food services,2467
06/30/2005,2005Q2,81,Private Industries,"Other services, except government",2664
06/30/2005,2005Q2,82,Government,Government,14008
09/30/2005,2005Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",4834
09/30/2005,2005Q3,6,Private Industries,Mining,283
09/30/2005,2005Q3,10,Private Industries,Utilities,2177
09/30/2005,2005Q3,11,Private Industries,Construction,5282
09/30/2005,2005Q3,12,Private Industries,Manufacturing,24333
09/30/2005,2005Q3,34,Private Industries,Wholesale trade,6725
09/30/2005,2005Q3,35,Private Industries,Retail trade,7475
09/30/2005,2005Q3,36,Private Industries,Transportation and warehousing,4371
09/30/2005,2005Q3,45,Private Industries,Information,4134
09/30/2005,2005Q3,51,Private Industries,Finance and insurance,17596
09/30/2005,2005Q3,56,Private Industries,Real estate and rental and leasing,11541
09/30/2005,2005Q3,60,Private Industries,"Professional, scientific, and technical services",3305
09/30/2005,2005Q3,64,Private Industries,Management of companies and enterprises,1067
09/30/2005,2005Q3,65,Private Industries,Administrative and waste management services,2317
09/30/2005,2005Q3,69,Private Industries,Educational services,1003
09/30/2005,2005Q3,70,Private Industries,Health care and social assistance,8139
09/30/2005,2005Q3,75,Private Industries,"Arts, entertainment, and recreation",758
09/30/2005,2005Q3,78,Private Industries,Accommodation and food services,2464
09/30/2005,2005Q3,81,Private Industries,"Other services, except government",2700
09/30/2005,2005Q3,82,Government,Government,14119
12/31/2005,2005Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",4175
12/31/2005,2005Q4,6,Private Industries,Mining,331
12/31/2005,2005Q4,10,Private Industries,Utilities,2297
12/31/2005,2005Q4,11,Private Industries,Construction,5210
12/31/2005,2005Q4,12,Private Industries,Manufacturing,24365
12/31/2005,2005Q4,34,Private Industries,Wholesale trade,6807
12/31/2005,2005Q4,35,Private Industries,Retail trade,7477
